Timestamp,State,Trial Number,Phase,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1737325493.3045204,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.3567452,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.3879848,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.4088912,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.429763,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.4506025,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.4715016,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.4922667,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.5150635,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.5358207,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.556566,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.57773,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.5987246,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.620108,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.6412928,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.6622841,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.6830053,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.70487,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.7259407,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.7467546,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.7677834,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.7886937,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.809588,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.830287,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.8510313,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.8724828,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.89333,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.9145513,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.9358025,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.9565244,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325493.9773316,practice,1,Reaching,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
